Farm ID,Soil Type,Soil pH,Organic Matter (%),Nitrogen Level (ppm),Phosphorus Level (ppm),Potassium Level (ppm),Temperature (°C),Rainfall (mm),Crop Recommended
4440,Clayey,7.4,2.9,27,10,31,28,887,Bajra
4441,Clayey,6.0,2.1,24,11,25,27,754,Mustard
4442,Loamy,7.0,1.6,30,13,31,29,813,Bajra
4443,Loamy,6.4,3.2,30,17,26,26,857,Wheat
4444,Loamy,6.2,1.6,30,20,28,25,871,Cotton
4445,Sandy,6.7,2.6,22,17,29,29,874,Wheat
4446,Sandy,6.5,2.9,21,13,25,29,889,Mustard
4447,Loamy,6.4,1.6,18,10,29,28,798,Mustard
4448,Clayey,6.9,2.3,28,20,26,30,796,Cotton
4449,Sandy,7.4,2.9,24,12,29,30,767,Bajra
4450,Loamy,6.2,2.8,30,15,31,27,817,Bajra
4451,Loamy,6.2,2.1,27,13,32,30,777,Sugarcane
4452,Sandy,6.2,2.5,30,11,35,26,761,Cotton
4453,Clayey,7.3,1.7,24,18,34,25,825,Bajra
4454,Loamy,6.5,1.6,29,12,30,30,847,Cotton
4455,Loamy,6.8,2.6,29,19,34,25,839,Wheat
4456,Sandy,7.4,2.3,25,19,28,25,805,Rice
4457,Loamy,7.2,2.2,20,18,31,26,832,Cotton
4458,Loamy,6.5,3.1,29,12,29,28,873,Cotton
4459,Loamy,6.0,2.8,27,16,30,27,771,Rice
4460,Clayey,7.3,2.4,19,10,34,25,767,Bajra
4461,Sandy,6.1,2.8,19,10,30,25,816,Mustard
4462,Loamy,6.2,3.2,22,13,34,25,791,Cotton
4463,Sandy,6.4,2.3,19,19,29,30,794,Sugarcane
4464,Sandy,6.8,3.2,29,11,27,29,888,Sugarcane
4465,Loamy,6.2,2.8,28,17,35,27,891,Rice
4466,Loamy,6.3,1.7,28,15,25,26,863,Sugarcane
4467,Clayey,7.0,2.9,30,13,26,26,769,Sugarcane
4468,Sandy,6.9,1.9,28,16,32,29,858,Bajra
4469,Loamy,7.3,1.7,18,15,27,25,778,Mustard
4470,Loamy,6.1,2.1,25,10,31,29,815,Sugarcane
4471,Loamy,6.4,1.9,28,12,29,26,703,Wheat
4472,Sandy,6.6,3.0,27,12,26,29,865,Cotton
4473,Loamy,6.3,2.0,25,20,33,27,862,Rice
4474,Clayey,6.9,2.3,20,16,31,25,861,Cotton
4475,Sandy,7.5,2.9,22,19,29,26,741,Sugarcane
4476,Loamy,6.2,2.2,30,20,28,29,752,Rice
4477,Loamy,6.8,1.7,30,20,33,28,893,Sugarcane
4478,Sandy,6.9,1.7,20,10,30,29,785,Sugarcane
4479,Clayey,6.3,2.1,30,17,35,26,843,Cotton
4480,Clayey,7.1,1.8,26,12,31,29,789,Cotton
4481,Clayey,6.6,1.7,18,15,27,30,702,Cotton
4482,Clayey,6.5,2.9,20,15,34,25,850,Mustard
4483,Loamy,6.2,2.7,30,14,28,28,706,Sugarcane
4484,Clayey,7.2,2.9,24,14,32,27,849,Sugarcane
4485,Sandy,7.1,1.9,18,20,29,26,770,Bajra
4486,Loamy,7.0,1.7,24,11,26,27,839,Cotton
4487,Clayey,6.8,2.4,27,17,33,26,821,Rice
4488,Clayey,7.0,2.5,30,11,28,26,828,Mustard
4489,Clayey,7.2,2.7,18,13,33,25,854,Rice
4490,Loamy,7.4,1.6,21,17,34,29,713,Bajra
4491,Clayey,7.1,2.6,25,19,30,29,810,Wheat
4492,Clayey,6.1,1.9,18,20,34,28,791,Bajra
4493,Clayey,6.5,2.1,23,19,26,26,882,Bajra
4494,Clayey,7.2,2.1,21,10,33,26,779,Wheat
4495,Clayey,7.1,1.9,25,12,25,26,816,Mustard
4496,Sandy,6.4,2.4,28,19,30,27,874,Bajra
4497,Loamy,6.5,1.8,24,11,33,30,757,Bajra
4498,Clayey,7.1,3.4,22,15,31,25,840,Mustard
4499,Sandy,7.2,3.4,22,16,30,25,740,Cotton
4500,Loamy,7.4,2.2,27,15,31,30,719,Mustard
4501,Clayey,6.7,1.9,27,11,33,29,737,Rice
4502,Clayey,6.7,3.0,23,20,29,25,759,Mustard
4503,Clayey,7.3,2.0,20,16,31,28,815,Cotton
4504,Sandy,6.7,1.9,24,13,32,29,789,Bajra
4505,Loamy,6.8,2.6,27,14,28,27,880,Bajra
4506,Sandy,7.3,1.7,27,16,27,29,785,Bajra
4507,Clayey,6.6,2.6,27,20,30,27,825,Bajra
4508,Clayey,7.3,2.3,23,13,28,25,855,Sugarcane
4509,Loamy,7.3,3.3,29,19,28,29,767,Rice
4510,Sandy,6.3,3.0,29,13,26,29,797,Rice
4511,Sandy,6.6,2.4,25,14,31,29,750,Wheat
4512,Loamy,6.4,2.1,25,10,32,27,749,Cotton
4513,Clayey,6.8,2.4,27,13,32,25,891,Mustard
4514,Sandy,6.8,1.5,21,18,28,30,866,Cotton
4515,Loamy,7.4,2.8,21,14,35,28,759,Wheat
4516,Clayey,7.1,3.5,25,17,26,27,769,Sugarcane
4517,Loamy,6.6,2.9,29,10,25,26,812,Mustard
4518,Loamy,7.2,2.4,27,15,30,25,800,Mustard
4519,Clayey,6.6,1.8,19,16,29,28,860,Bajra
4520,Sandy,6.0,3.1,25,16,27,25,830,Rice
4521,Sandy,6.6,3.2,22,16,27,29,859,Rice
4522,Clayey,6.8,2.5,25,17,35,26,828,Mustard
4523,Loamy,6.1,1.8,27,13,26,28,727,Wheat
4524,Clayey,7.2,2.7,27,14,26,30,848,Mustard
4525,Sandy,7.1,3.2,20,17,29,28,884,Cotton
4526,Sandy,6.1,3.5,21,16,33,26,757,Mustard
4527,Loamy,6.3,1.8,28,14,32,29,744,Rice
4528,Clayey,6.7,1.8,19,16,25,30,828,Bajra
4529,Loamy,7.5,2.0,26,15,28,28,890,Bajra
4530,Sandy,6.3,2.8,27,19,27,27,859,Rice
4531,Loamy,6.5,3.2,30,11,31,25,801,Cotton
4532,Loamy,6.6,2.8,18,10,34,28,833,Wheat
4533,Sandy,6.3,2.6,24,16,26,30,720,Sugarcane
4534,Sandy,6.4,2.2,30,15,31,30,794,Rice
4535,Sandy,7.3,2.2,19,11,29,29,718,Mustard
4536,Loamy,6.3,2.6,27,17,30,28,798,Sugarcane
4537,Clayey,7.2,1.7,30,18,27,29,826,Sugarcane
4538,Clayey,6.4,1.5,27,12,32,28,742,Rice
4539,Loamy,7.0,2.4,24,20,32,26,900,Bajra
4540,Loamy,6.9,1.5,22,20,32,25,776,Cotton
4541,Clayey,6.6,2.0,30,16,27,26,872,Rice
4542,Loamy,6.2,1.7,19,10,35,26,820,Bajra
4543,Loamy,6.4,2.1,25,16,33,29,754,Wheat
4544,Loamy,6.4,2.0,27,10,25,27,875,Rice
4545,Sandy,7.3,2.2,26,17,35,27,795,Wheat
4546,Clayey,6.2,2.1,18,18,25,26,872,Rice
4547,Loamy,6.8,2.9,29,15,32,30,733,Mustard
4548,Loamy,6.7,1.7,28,15,27,28,756,Wheat
4549,Loamy,6.4,2.1,27,15,27,25,773,Bajra
4550,Loamy,7.2,1.6,24,12,34,25,728,Cotton
4551,Clayey,7.3,3.0,21,19,27,25,835,Wheat
4552,Sandy,6.7,2.7,18,15,33,27,757,Sugarcane
4553,Loamy,6.2,3.0,28,20,25,27,850,Sugarcane
4554,Loamy,6.4,2.9,21,20,29,30,848,Cotton
4555,Sandy,6.7,2.3,27,19,31,25,770,Rice
4556,Clayey,7.2,3.1,20,17,34,29,783,Sugarcane
4557,Clayey,6.2,1.9,25,15,35,26,754,Mustard
4558,Loamy,7.3,2.1,24,11,31,27,715,Sugarcane
4559,Loamy,6.3,2.7,25,18,28,28,896,Cotton
4560,Clayey,6.7,1.7,26,13,28,30,755,Bajra
4561,Loamy,6.2,2.8,24,10,30,27,791,Wheat
4562,Loamy,6.2,1.8,21,20,26,29,805,Wheat
4563,Clayey,7.1,2.0,23,14,29,30,802,Bajra
4564,Clayey,7.0,1.5,30,13,32,30,741,Mustard
4565,Loamy,6.7,2.2,19,16,34,29,803,Sugarcane
4566,Clayey,7.0,1.9,18,11,34,26,820,Sugarcane
4567,Loamy,6.4,3.0,28,10,34,27,763,Bajra
4568,Sandy,6.6,3.2,23,16,26,27,848,Mustard
4569,Clayey,6.8,3.4,19,11,29,25,709,Mustard
4570,Sandy,6.5,2.7,20,11,32,29,874,Rice
4571,Clayey,7.0,3.3,27,16,30,28,772,Bajra
4572,Sandy,6.6,3.4,25,18,29,26,742,Wheat
4573,Clayey,6.9,1.8,24,18,28,27,739,Sugarcane
4574,Clayey,7.1,2.6,20,18,34,27,715,Cotton
4575,Clayey,6.5,1.5,21,15,31,30,778,Rice
4576,Sandy,7.0,2.6,25,10,34,26,732,Rice
4577,Loamy,7.2,1.8,21,13,26,30,898,Rice
4578,Clayey,6.9,3.2,20,17,31,29,815,Mustard
4579,Sandy,6.3,2.2,19,17,28,28,817,Sugarcane
4580,Clayey,7.2,2.0,24,19,25,26,701,Sugarcane
4581,Clayey,6.4,1.9,22,15,29,29,736,Rice
4582,Clayey,6.1,1.9,29,13,33,26,880,Bajra
4583,Loamy,7.3,3.3,25,19,28,27,900,Rice
4584,Clayey,6.4,1.6,18,17,25,26,773,Cotton
4585,Sandy,6.5,1.9,28,10,33,25,796,Sugarcane
4586,Loamy,6.2,3.5,22,17,28,29,729,Cotton
4587,Sandy,6.1,3.3,29,13,25,25,733,Rice
4588,Clayey,6.6,2.3,29,20,33,30,727,Cotton
4589,Loamy,6.2,3.3,23,13,30,27,830,Sugarcane
4590,Sandy,6.5,3.4,26,17,28,28,812,Bajra
4591,Clayey,6.0,3.4,25,18,34,29,744,Wheat
4592,Sandy,6.8,3.4,21,14,35,30,866,Bajra
4593,Loamy,6.3,1.5,18,10,28,27,899,Sugarcane
4594,Sandy,7.3,3.4,26,12,32,25,797,Sugarcane
4595,Clayey,6.4,3.1,25,16,30,30,756,Rice
4596,Loamy,6.6,2.5,23,12,34,29,726,Wheat
4597,Sandy,7.3,2.6,19,20,25,25,851,Bajra
4598,Loamy,6.3,2.2,18,13,33,25,818,Rice
4599,Sandy,6.6,2.3,23,20,28,27,737,Wheat
4600,Clayey,6.2,2.7,18,17,33,25,761,Cotton
4601,Clayey,7.1,2.0,23,20,34,30,700,Wheat
4602,Sandy,6.1,2.4,28,16,30,28,701,Cotton
4603,Sandy,7.2,2.0,24,12,28,27,805,Mustard
4604,Sandy,6.3,3.1,20,16,32,29,829,Cotton
4605,Loamy,6.5,3.5,22,13,25,27,859,Sugarcane
4606,Sandy,7.0,1.7,30,15,27,28,731,Rice
4607,Clayey,6.1,3.3,19,11,28,29,878,Wheat
4608,Clayey,7.3,2.9,18,11,30,29,772,Cotton
4609,Loamy,6.2,3.5,26,18,30,27,761,Wheat
4610,Loamy,6.4,3.1,23,17,25,29,799,Bajra
4611,Clayey,7.4,2.9,28,20,35,25,863,Cotton
4612,Clayey,7.0,2.0,18,15,26,29,851,Mustard
4613,Loamy,6.1,1.9,30,20,29,25,732,Cotton
4614,Clayey,6.7,1.5,21,19,30,27,710,Cotton
4615,Sandy,6.1,2.7,26,13,30,27,836,Sugarcane
4616,Sandy,7.3,2.8,23,16,27,25,775,Wheat
4617,Sandy,7.4,3.1,19,18,26,29,792,Wheat
4618,Loamy,7.0,3.1,24,19,26,27,896,Sugarcane
4619,Sandy,7.1,2.7,23,11,29,29,888,Bajra
4620,Sandy,6.5,3.1,26,13,30,30,821,Rice
4621,Sandy,6.7,3.3,26,16,31,30,868,Cotton
4622,Sandy,6.3,2.2,20,18,35,26,794,Rice
4623,Clayey,7.2,1.6,18,15,27,28,787,Wheat
4624,Clayey,6.2,2.9,30,15,29,30,871,Sugarcane
4625,Clayey,6.5,3.1,29,17,32,28,741,Cotton
4626,Sandy,6.7,1.8,21,11,26,25,836,Bajra
4627,Loamy,6.4,1.5,20,14,29,30,855,Bajra
4628,Loamy,6.7,3.1,28,15,26,30,812,Wheat
4629,Clayey,7.4,3.2,24,15,34,26,796,Rice
4630,Clayey,6.8,2.8,20,17,28,28,829,Cotton
4631,Loamy,7.3,3.1,24,11,25,29,728,Bajra
4632,Clayey,7.3,1.5,29,18,28,29,869,Mustard
4633,Sandy,6.9,3.0,28,13,35,28,739,Cotton
4634,Sandy,6.0,2.6,25,14,33,26,800,Wheat
4635,Clayey,6.5,1.5,22,20,30,28,833,Bajra
4636,Sandy,7.2,2.3,18,18,32,26,832,Cotton
4637,Loamy,6.7,3.3,29,18,28,29,765,Sugarcane
4638,Clayey,7.3,3.4,18,18,30,30,764,Bajra
4639,Sandy,6.5,3.0,28,18,30,30,831,Cotton
4640,Sandy,7.4,3.5,21,16,33,27,848,Rice
4641,Clayey,7.0,1.6,24,10,33,26,742,Mustard
4642,Sandy,7.3,3.4,30,14,34,30,804,Cotton
4643,Loamy,7.2,3.4,30,16,27,28,757,Sugarcane
4644,Clayey,6.0,2.6,18,14,31,26,870,Rice
4645,Clayey,6.2,2.8,20,13,31,26,737,Cotton
4646,Loamy,7.0,2.8,23,17,25,29,739,Bajra
4647,Sandy,7.0,2.5,30,10,29,28,759,Sugarcane
4648,Sandy,7.1,1.8,30,18,35,27,764,Mustard
4649,Sandy,7.5,3.3,29,15,33,30,811,Bajra
4650,Sandy,6.4,2.2,26,14,28,26,708,Sugarcane
4651,Loamy,7.3,2.5,20,11,35,28,775,Mustard
4652,Loamy,6.3,3.5,24,17,30,30,855,Cotton
4653,Sandy,7.0,1.9,23,13,30,28,706,Cotton
4654,Sandy,6.7,2.5,20,19,25,28,886,Mustard
4655,Clayey,6.9,3.3,25,20,35,27,868,Sugarcane
4656,Clayey,6.6,3.3,26,13,35,30,887,Rice
4657,Clayey,6.5,2.0,23,11,34,28,743,Mustard
4658,Sandy,6.1,1.8,30,17,28,25,762,Cotton
4659,Loamy,6.4,3.0,29,15,27,30,703,Cotton
4660,Clayey,6.8,3.0,29,15,33,27,733,Sugarcane
4661,Clayey,7.4,2.3,24,18,30,26,702,Rice
4662,Sandy,6.5,1.6,22,19,34,28,783,Cotton
4663,Sandy,6.4,2.4,28,19,31,26,707,Bajra
4664,Clayey,6.9,2.1,27,17,25,28,710,Rice
4665,Clayey,7.2,2.1,23,18,27,29,895,Bajra
4666,Sandy,6.5,2.4,28,11,31,29,887,Rice
4667,Loamy,6.9,3.2,28,11,32,29,726,Sugarcane
4668,Loamy,6.5,2.9,23,11,27,27,785,Cotton
4669,Clayey,7.3,2.6,21,16,25,26,816,Bajra
4670,Clayey,6.5,3.0,20,14,29,27,804,Wheat
4671,Sandy,6.6,2.2,26,14,33,29,818,Wheat
4672,Clayey,6.6,2.4,30,16,27,25,891,Sugarcane
4673,Sandy,7.0,1.5,22,13,34,27,796,Bajra
4674,Sandy,7.2,2.1,27,15,30,27,720,Cotton
4675,Clayey,6.9,3.2,30,15,34,28,707,Mustard
4676,Clayey,6.6,1.6,26,15,29,29,769,Bajra
4677,Loamy,7.5,3.3,22,13,27,28,715,Wheat
4678,Clayey,7.1,2.0,29,19,30,27,850,Cotton
4679,Clayey,7.0,1.7,21,12,27,25,810,Rice
4680,Clayey,7.4,2.8,23,12,33,27,843,Rice
4681,Loamy,6.6,1.9,26,15,27,30,842,Cotton
4682,Clayey,6.5,2.0,20,20,34,28,753,Cotton
4683,Loamy,6.0,3.0,21,14,32,30,841,Mustard
4684,Sandy,6.9,1.9,28,17,34,25,716,Cotton
4685,Clayey,6.3,1.6,30,17,34,26,795,Wheat
4686,Loamy,6.4,3.0,21,18,29,26,894,Bajra
4687,Loamy,6.4,3.4,26,17,25,29,832,Bajra
4688,Sandy,6.9,2.7,20,14,29,30,761,Mustard
4689,Sandy,6.4,2.5,27,16,29,30,873,Cotton
4690,Clayey,7.4,1.6,28,11,34,27,887,Wheat
4691,Clayey,7.0,2.7,30,16,26,29,852,Bajra
4692,Loamy,6.7,3.2,22,15,28,28,807,Sugarcane
4693,Loamy,7.5,2.6,27,19,27,29,822,Sugarcane
4694,Clayey,7.1,2.8,22,10,30,28,791,Mustard
4695,Loamy,7.1,2.0,24,10,30,25,792,Mustard
4696,Loamy,6.5,3.2,25,20,29,27,813,Sugarcane
4697,Clayey,6.8,1.8,27,14,33,26,758,Sugarcane
4698,Clayey,6.9,3.4,29,12,27,28,772,Cotton
4699,Clayey,7.2,2.2,30,10,25,25,783,Sugarcane
4700,Loamy,7.5,2.0,28,16,30,26,717,Rice
4701,Clayey,6.3,3.2,18,17,27,28,827,Cotton
4702,Clayey,6.6,2.6,21,11,32,26,731,Wheat
4703,Loamy,7.4,2.5,20,17,33,25,727,Cotton
4704,Loamy,6.6,1.6,26,19,26,29,780,Rice
4705,Sandy,6.3,1.5,25,10,31,29,763,Cotton
4706,Clayey,7.4,3.4,22,15,30,28,783,Bajra
4707,Loamy,7.3,3.3,19,12,35,26,773,Mustard
4708,Clayey,6.4,1.9,28,15,34,30,893,Bajra
4709,Clayey,6.3,1.7,28,12,32,29,720,Bajra
4710,Clayey,7.2,2.6,21,16,31,26,854,Wheat
4711,Sandy,7.0,1.6,21,19,27,26,880,Cotton
4712,Clayey,6.6,2.3,25,14,27,30,701,Rice
4713,Sandy,6.4,3.2,29,16,25,27,737,Mustard
4714,Sandy,7.3,1.6,28,20,33,26,842,Sugarcane
4715,Loamy,7.1,2.4,24,19,30,27,802,Rice
4716,Clayey,7.2,3.4,20,12,28,25,808,Wheat
4717,Sandy,6.5,2.2,21,16,34,29,861,Bajra
4718,Loamy,7.0,1.6,20,17,33,28,853,Bajra
4719,Sandy,7.1,2.9,20,11,26,26,881,Cotton
4720,Loamy,6.5,2.0,23,16,27,30,792,Wheat
4721,Sandy,6.3,2.9,27,12,26,25,715,Rice
4722,Clayey,6.1,2.9,29,13,26,30,708,Wheat
4723,Loamy,6.9,3.3,25,15,26,30,765,Sugarcane
4724,Clayey,7.3,2.3,24,12,34,27,884,Wheat
4725,Clayey,6.8,2.4,22,16,29,28,860,Sugarcane
4726,Loamy,7.1,2.2,19,10,31,27,802,Rice
4727,Sandy,6.1,2.5,29,12,27,28,874,Sugarcane
4728,Sandy,6.4,3.0,28,17,32,28,852,Wheat
4729,Loamy,6.1,2.0,22,14,31,27,770,Mustard
4730,Loamy,6.4,2.0,30,14,35,29,721,Sugarcane
4731,Clayey,6.0,2.0,27,11,27,30,889,Cotton
4732,Loamy,7.5,3.4,23,19,25,30,770,Cotton
4733,Loamy,6.9,3.3,27,14,32,30,828,Mustard
4734,Sandy,6.1,1.9,30,16,30,29,794,Wheat
4735,Sandy,6.9,1.5,30,20,27,30,709,Cotton
4736,Clayey,6.9,2.4,29,16,33,29,806,Bajra
4737,Loamy,6.6,3.3,30,15,32,27,847,Wheat
4738,Clayey,6.7,2.0,29,12,26,25,890,Rice
4739,Sandy,7.1,2.2,18,17,34,28,819,Rice
4740,Clayey,6.2,3.4,24,12,34,26,868,Sugarcane
4741,Sandy,6.1,3.5,21,12,25,26,853,Wheat
4742,Clayey,6.7,2.2,27,13,35,25,844,Cotton
4743,Sandy,7.2,3.4,20,13,31,26,730,Wheat
4744,Sandy,6.0,3.5,23,17,29,28,866,Bajra
4745,Loamy,7.3,2.8,29,16,30,27,890,Sugarcane
4746,Loamy,7.1,3.5,26,18,28,29,753,Sugarcane
4747,Sandy,7.1,3.1,27,17,34,25,867,Cotton
4748,Loamy,6.2,2.7,18,11,33,29,732,Wheat
4749,Clayey,6.7,3.1,29,19,31,30,742,Sugarcane
4750,Loamy,6.6,1.9,30,11,29,29,727,Cotton
4751,Sandy,6.1,1.7,18,10,35,25,885,Mustard
4752,Loamy,7.5,2.5,19,12,26,28,757,Rice
4753,Sandy,7.5,2.8,25,13,34,27,881,Rice
4754,Loamy,7.1,1.6,29,10,29,29,794,Cotton
4755,Loamy,6.9,3.0,24,12,35,26,744,Bajra
4756,Clayey,6.4,2.8,24,17,27,27,809,Cotton
4757,Sandy,6.2,2.4,26,20,31,27,717,Cotton
4758,Sandy,6.1,2.6,25,14,31,26,895,Wheat
4759,Sandy,6.2,1.7,27,17,32,26,757,Cotton
4760,Clayey,6.5,2.0,28,18,34,25,893,Sugarcane
4761,Clayey,6.9,2.5,22,11,27,26,856,Mustard
4762,Loamy,6.7,1.6,24,15,25,25,784,Wheat
4763,Clayey,6.2,2.6,21,11,35,29,760,Wheat
4764,Clayey,7.5,2.8,21,16,34,28,820,Cotton
4765,Loamy,7.5,1.9,23,14,34,27,749,Sugarcane
4766,Loamy,6.6,2.2,30,11,27,26,832,Sugarcane
4767,Sandy,7.1,2.7,21,15,29,30,796,Sugarcane
4768,Sandy,6.5,3.4,23,15,29,26,756,Rice
4769,Clayey,6.2,3.0,25,11,26,29,893,Rice
4770,Loamy,6.6,2.6,21,17,35,25,741,Mustard
4771,Clayey,6.5,2.7,24,19,33,27,880,Wheat
4772,Sandy,7.2,3.4,25,19,35,29,857,Rice
4773,Clayey,6.3,1.5,23,10,33,30,703,Mustard
4774,Clayey,6.9,2.1,22,11,31,28,775,Wheat
4775,Clayey,7.2,1.9,28,15,29,30,836,Mustard
4776,Loamy,6.4,2.6,26,15,29,28,773,Mustard
4777,Loamy,6.6,1.9,30,13,30,27,811,Sugarcane
4778,Clayey,7.2,2.2,23,13,28,27,900,Bajra
4779,Loamy,7.2,3.1,19,15,35,26,716,Sugarcane
4780,Sandy,6.9,1.8,21,15,33,27,784,Mustard
4781,Loamy,6.8,2.0,18,10,27,27,717,Wheat
4782,Loamy,7.2,2.8,26,17,26,28,832,Wheat
4783,Sandy,7.5,2.7,28,18,29,28,821,Sugarcane
4784,Loamy,7.1,2.0,18,16,29,30,710,Sugarcane
4785,Loamy,7.1,2.8,20,10,32,30,717,Wheat
4786,Clayey,7.1,1.6,22,13,29,25,881,Sugarcane
4787,Loamy,6.9,3.2,22,19,29,30,817,Wheat
4788,Loamy,6.3,2.1,20,19,26,29,747,Sugarcane
4789,Sandy,6.5,3.2,30,18,27,26,766,Bajra
4790,Sandy,6.3,2.6,29,14,34,26,899,Bajra
4791,Sandy,6.6,2.1,27,12,35,28,836,Rice
4792,Clayey,7.4,2.6,23,10,26,26,777,Rice
4793,Sandy,7.3,1.9,22,14,29,28,739,Bajra
4794,Sandy,6.2,3.5,25,14,28,25,731,Cotton
4795,Sandy,6.9,2.9,27,12,34,30,848,Wheat
4796,Clayey,7.4,1.6,19,10,35,29,799,Rice
4797,Loamy,6.1,2.3,19,13,33,28,751,Sugarcane
4798,Clayey,7.4,2.8,23,17,33,27,811,Wheat
4799,Loamy,6.9,2.5,23,10,33,27,714,Wheat
4800,Sandy,6.2,3.0,20,14,35,25,873,Sugarcane
4801,Loamy,6.2,3.0,19,19,30,26,800,Sugarcane
4802,Clayey,6.1,2.2,25,15,31,30,739,Mustard
4803,Clayey,6.5,2.7,28,12,28,25,767,Cotton
4804,Clayey,6.8,2.2,19,13,31,26,888,Wheat
4805,Loamy,6.4,2.8,29,16,26,27,799,Wheat
4806,Clayey,6.2,2.4,28,20,30,30,872,Bajra
4807,Sandy,6.1,3.0,30,10,35,27,774,Wheat
4808,Sandy,7.4,2.9,25,15,27,27,886,Mustard
4809,Loamy,7.1,3.4,23,20,26,29,700,Wheat
4810,Sandy,6.5,3.5,24,10,29,25,846,Mustard
4811,Loamy,7.2,2.1,27,11,32,30,779,Rice
4812,Loamy,7.0,2.7,23,14,35,28,825,Wheat
4813,Sandy,7.3,2.6,21,13,32,27,877,Rice
4814,Loamy,6.4,1.8,21,19,28,25,703,Bajra
4815,Sandy,6.4,2.6,29,16,34,28,832,Bajra
4816,Loamy,7.4,3.2,28,16,34,27,851,Bajra
4817,Loamy,6.3,2.5,24,12,28,29,754,Wheat
4818,Clayey,7.1,3.0,27,12,28,27,900,Mustard
4819,Clayey,6.7,3.1,20,10,31,26,706,Bajra
4820,Sandy,7.3,1.8,24,17,27,25,703,Mustard
4821,Loamy,7.1,2.5,29,18,25,29,826,Sugarcane
4822,Loamy,7.5,2.1,28,10,27,29,783,Rice
4823,Loamy,6.7,3.0,30,16,31,26,792,Wheat
4824,Loamy,7.4,1.8,20,14,26,30,774,Mustard
4825,Sandy,6.6,3.5,23,11,30,30,865,Rice
4826,Loamy,6.3,1.6,21,15,31,28,849,Cotton
4827,Clayey,7.0,2.7,27,13,30,28,754,Cotton
4828,Loamy,7.0,2.8,22,13,30,26,859,Sugarcane
4829,Clayey,7.3,2.1,29,16,30,30,781,Mustard
4830,Loamy,7.5,3.4,24,14,34,27,857,Wheat
4831,Sandy,6.2,1.9,29,15,25,28,821,Mustard
4832,Clayey,7.2,2.5,26,14,28,29,723,Sugarcane
4833,Loamy,6.4,3.3,19,19,31,28,765,Rice
4834,Loamy,7.1,2.2,30,20,31,30,742,Cotton
4835,Loamy,7.4,3.0,22,17,26,27,721,Rice
4836,Sandy,6.6,1.7,20,10,35,29,875,Bajra
4837,Clayey,7.1,3.4,18,14,29,28,816,Sugarcane
4838,Loamy,6.5,3.5,28,10,28,30,841,Sugarcane
4839,Loamy,6.3,3.5,25,18,34,29,703,Wheat
4840,Sandy,6.0,2.7,23,19,27,30,706,Sugarcane
4841,Clayey,6.8,2.1,23,14,35,28,730,Mustard
4842,Clayey,6.3,1.6,26,12,29,30,770,Bajra
4843,Loamy,7.3,3.5,20,17,32,26,836,Mustard
4844,Sandy,7.3,2.6,18,13,25,25,758,Bajra
4845,Loamy,6.6,2.8,30,13,27,27,891,Bajra
4846,Loamy,6.2,2.1,27,11,27,30,817,Rice
4847,Clayey,6.3,2.0,21,13,27,26,851,Mustard
4848,Clayey,6.9,3.5,23,16,32,30,823,Sugarcane
4849,Loamy,7.1,1.8,26,19,25,25,783,Bajra
4850,Clayey,7.5,2.3,27,15,33,26,783,Sugarcane
4851,Sandy,6.8,1.6,28,17,34,25,831,Mustard
4852,Clayey,7.0,3.2,26,14,29,25,884,Bajra
4853,Loamy,7.3,1.8,29,20,35,26,717,Cotton
4854,Loamy,6.4,1.9,29,17,29,29,742,Mustard
4855,Sandy,7.3,2.2,19,14,27,26,782,Cotton
4856,Sandy,6.5,3.1,27,10,33,25,864,Sugarcane
4857,Loamy,6.2,3.4,23,17,34,28,796,Wheat
4858,Sandy,7.3,3.1,20,11,28,25,879,Rice
4859,Clayey,6.8,1.7,29,13,34,26,770,Mustard
4860,Loamy,7.3,3.5,30,18,32,26,753,Wheat
4861,Loamy,6.2,3.0,24,13,33,26,795,Bajra
4862,Sandy,6.5,2.6,23,12,26,26,797,Rice
4863,Sandy,7.1,2.7,29,14,27,29,702,Cotton
4864,Loamy,6.0,3.5,26,19,30,25,809,Rice
4865,Loamy,6.1,2.8,30,19,25,25,813,Rice
4866,Clayey,6.5,1.8,28,13,33,29,868,Cotton
4867,Clayey,6.2,1.8,27,14,29,29,890,Wheat
4868,Loamy,7.5,1.7,25,19,30,28,754,Rice
4869,Clayey,6.4,3.2,24,15,33,30,806,Cotton
4870,Sandy,7.1,3.2,20,15,28,29,726,Sugarcane
4871,Loamy,6.7,1.8,18,18,33,29,895,Mustard
4872,Clayey,6.8,2.4,24,14,34,25,893,Sugarcane
4873,Clayey,6.9,3.3,20,16,32,28,807,Mustard
4874,Sandy,7.4,3.3,28,19,27,27,718,Mustard
4875,Clayey,7.3,3.4,19,19,26,25,837,Wheat
4876,Loamy,6.2,1.5,22,16,33,27,752,Bajra
4877,Sandy,7.3,2.0,23,18,33,28,724,Wheat
4878,Loamy,6.2,2.5,23,13,27,25,785,Wheat
4879,Loamy,6.2,2.1,30,15,26,30,896,Wheat
4880,Loamy,7.1,1.9,24,17,31,25,872,Sugarcane
4881,Loamy,6.2,2.3,20,15,25,29,840,Rice
4882,Loamy,7.0,2.4,18,13,25,28,837,Cotton
4883,Clayey,6.1,1.5,27,15,29,27,777,Wheat
4884,Clayey,7.0,2.9,22,16,32,26,719,Bajra
